construct,freq_in_data,hum_gpt_kappa,hum_gpt_precision,hum_gpt_recall,n_eval
Added Lines,0.10891089108910891,0.5633521782507482,0.4583333333333333,1.0,101
Comment,0.019801980198019802,0.2836879432624113,0.18181818181818182,1.0,101
Function Body,0.1782178217821782,0.11772046589018315,0.2391304347826087,0.6111111111111112,101
Function Return,0.24752475247524752,0.6426886792452831,0.8823529411764706,0.6,101
If Body,0.0891089108910891,0.06857413100023635,0.125,0.5555555555555556,101
If Header,0.3564356435643564,0.6028313016122689,0.66,0.9166666666666666,101
Operator,0.297029702970297,0.6887888125148139,0.7931034482758621,0.7666666666666667,101
Removed Lines,0.0891089108910891,0.6248839368616528,0.5333333333333333,0.8888888888888888,101
Syntax Change,0.3465346534653465,0.19992455677102994,0.43859649122807015,0.7142857142857143,101
Testing,0.26732673267326734,0.3587301587301588,0.8888888888888888,0.2962962962962963,101
Value Change,0.09900990099009901,0.11013215859030834,0.15151515151515152,1.0,101
Variable Usage and Assignment,0.21782178217821782,0.2831230283911672,0.36,0.8181818181818182,101
Variable-type Change,0.009900990099009901,0.23677581863979846,0.14285714285714285,1.0,101
Variable-type conversion,0.1188118811881188,0.23517038283550706,0.2391304347826087,0.9166666666666666,101
