construct,freq_in_data,hum_gpt_kappa,hum_gpt_precision,hum_gpt_recall,n_eval
Added Lines,0.10891089108910891,0.9055191768007483,0.8461538461538461,1.0,101
Comment,0.019801980198019802,0.34232558139534885,0.2222222222222222,1.0,101
Function Body,0.1782178217821782,0.14610882289182736,0.2558139534883721,0.6111111111111112,101
Function Return,0.24752475247524752,0.6531196336576989,0.8421052631578947,0.64,101
If Body,0.0891089108910891,0.052532833020637826,0.11764705882352941,0.4444444444444444,101
If Header,0.3564356435643564,0.718774860779634,0.7291666666666666,0.9722222222222222,101
Operator,0.297029702970297,0.7004334930412959,0.7575757575757576,0.8333333333333334,101
Removed Lines,0.0891089108910891,0.7782656421514819,0.7272727272727273,0.8888888888888888,101
Syntax Change,0.3465346534653465,0.2910263707076455,0.48214285714285715,0.7714285714285715,101
Testing,0.26732673267326734,0.29460317460317464,0.7777777777777778,0.25925925925925924,101
Value Change,0.09900990099009901,0.12585647313379023,0.16071428571428573,0.9,101
Variable Usage and Assignment,0.21782178217821782,0.27707226968367593,0.3783783783783784,0.6363636363636364,101
Variable-type Change,0.009900990099009901,0.3221476510067114,0.2,1.0,101
Variable-type conversion,0.1188118811881188,0.3530249110320285,0.3076923076923077,1.0,101
