construct,freq_in_data,hum_gpt_kappa,hum_gpt_precision,hum_gpt_recall,n_eval
Added Lines,0.10891089108910891,0.5860655737704918,0.4782608695652174,1.0,101
Comment,0.019801980198019802,0.6576271186440679,0.5,1.0,101
Function Body,0.1782178217821782,0.0673546985334057,0.21052631578947367,0.6666666666666666,101
Function Return,0.24752475247524752,0.5968537215308758,0.6176470588235294,0.84,101
If Body,0.0891089108910891,-0.05811425182842478,0.06,0.3333333333333333,101
If Header,0.3564356435643564,0.6785998408910103,0.7083333333333334,0.9444444444444444,101
Operator,0.297029702970297,0.5648635710866443,0.7142857142857143,0.6666666666666666,101
Removed Lines,0.0891089108910891,0.5675360062281043,0.45,1.0,101
Syntax Change,0.3465346534653465,0.29623730838144535,0.5,0.6857142857142857,101
Testing,0.26732673267326734,0.5759865659109992,0.8333333333333334,0.5555555555555556,101
Value Change,0.09900990099009901,0.037612838515546754,0.11627906976744186,1.0,101
Variable Usage and Assignment,0.21782178217821782,0.2988816043193212,0.36538461538461536,0.8636363636363636,101
Variable-type Change,0.009900990099009901,0.3221476510067114,0.2,1.0,101
Variable-type conversion,0.1188118811881188,0.4782740808264965,0.4074074074074074,0.9166666666666666,101
