construct,freq_in_data,hum_gpt_kappa,hum_gpt_precision,hum_gpt_recall,n_eval
Added Lines,0.10891089108910891,0.9055191768007483,0.8461538461538461,1.0,101
Comment,0.019801980198019802,0.3803680981595092,0.25,1.0,101
Function Body,0.1782178217821782,0.12692388783470387,0.24444444444444444,0.6111111111111112,101
Function Return,0.24752475247524752,0.6866008462623413,0.85,0.68,101
If Body,0.0891089108910891,0.008415147265077194,0.09375,0.3333333333333333,101
If Header,0.3564356435643564,0.7403598971722365,0.7346938775510204,1.0,101
Operator,0.297029702970297,0.7208659603869185,0.78125,0.8333333333333334,101
Removed Lines,0.0891089108910891,0.7782656421514819,0.7272727272727273,0.8888888888888888,101
Syntax Change,0.3465346534653465,0.21438057294630986,0.44642857142857145,0.7142857142857143,101
Testing,0.26732673267326734,0.33656553018454793,0.8,0.2962962962962963,101
Value Change,0.09900990099009901,0.124325208571896,0.15873015873015872,1.0,101
Variable Usage and Assignment,0.21782178217821782,0.3718347401155042,0.425,0.7727272727272727,101
Variable-type Change,0.009900990099009901,0.3903420523138833,0.25,1.0,101
Variable-type conversion,0.1188118811881188,0.29403541472507,0.275,0.9166666666666666,101
